id;start_date;end_date;language
1;2019-08-12T10:47:37;2019-08-12T03:55:54;FRENCH
2;2019-08-12T12:17:42;2019-08-11T21:23:52;SPANISH
3;2019-08-12T07:49:47;2019-08-11T23:13:47;ENGLISH
4;2019-08-11T21:01:38;2019-08-12T04:28:40;ENGLISH
5;2019-08-12T06:00:17;2019-08-12T10:44:26;ENGLISH
6;2019-08-12T12:17:18;2019-08-12T13:34:14;ENGLISH
7;2019-08-11T21:39:37;2019-08-12T10:20:24;ENGLISH
8;2019-08-11T19:10:56;2019-08-12T03:11:05;SPANISH
9;2019-08-12T04:59:02;2019-08-12T13:23:40;ENGLISH
10;2019-08-12T08:17:12;2019-08-12T05:33:27;SPANISH
